,0
0,"Agamemnon        (Oresteia, #1)"
1,Семейное счастие
2,"Somebody Loves You, Mr. Hatch"
3,And Then There Were None
4,Matilda
5,The Fault in Our Stars
6,Where the Wild Things Are
7,Candide
8,East of Eden
9,The Iliad
10,"Shiloh        (Shiloh, #1)"
11,"My Side of the Mountain        (Mountain, #1)"
12,"Hatchet        (Brian's Saga, #1)"
13,Hippolytus
14,The Symposium
15,"The Oresteia Trilogy: Agamemnon, the Libation-Bearers and the Furies"
16,Animal Farm
17,New Ideas from Dead Economists: An Introduction to Modern Economic Thought
18,Globalization
19,Persuasion
20,Orthodoxy
21,Man’s Search for Meaning
22,12 Rules for Life: An Antidote to Chaos
23,The Old Man and the Sea
24,The Picture of Dorian Gray
25,Pride and Prejudice
26,Nine Stories
27,The Catcher in the Rye
28,Wuthering Heights
29,Notes from Underground
30,The Brothers Karamazov
31,Crime and Punishment
